ra,dec,TIC,2mass_id,KIC,Reinhold,McQuillan,Claytor ,Oelkers,Newton 2016,Newton 2018,Bouma,Walkowicz
289.920676,41.5427758,122136712,19194097+4132341,6198999,,,,,,,24.37,24.16
287.302772,39.2896399,121215172,19091267+3917228,4142847,,,,,,,23.21,24.16
292.9016226,38.297032,137892408,19313638+3817495,3122913,,,,,,,22.74,24.16
282.6313559,46.481022,123495717,18503152+4628519,9693006,,,,,,,,24.1
288.0119248,46.1176003,158660363,19120285+4607033,9518318,,,,,,,21.63,23.78
288.1566649,41.8779417,121462999,19123760+4152406,6432345,,,,,,,24.03,23.78
285.6616933,37.9645672,120629799,19023879+3757522,2692377,,,,,,,22.27,23.43
285.1733174,48.7700099,48506710,19004159+4846121,11125613,,,,,,,23.38,23.41
281.6476437,48.2709523,47977416,18463546+4816157,10842192,,,,,,,23.7,23.41
298.6079128,46.45366,268060310,19542589+4627132,9729691,,,,,,,23.21,23.41
292.8557189,46.3911883,63452790,19312537+4623282,9651668,,,,,,,19.82,23.41
285.8223636,45.7118423,279912260,19031736+4542428,9269042,,,,,,,23.38,23.41
297.5830564,41.9523531,169465273,19501994+4157087,6543893,,,,,,,26.63,23.41
295.3543571,48.5153932,27458799,19412506+4830554,11037511,,,,,,,21.48,23.05
297.4636477,48.1813978,28230011,19495126+4810530,10813132,,,,,,,21.96,23.05
293.1311803,45.6634153,275490034,19323146+4539487,9221517,,,,,,,39.59,23.05
285.6285208,44.3107855,352012126,19023084+4418392,8351704,,,,,,,24.71,23.05
300.170472,43.9849048,239273090,20004092+4359058,8126558,,,,,,,22.24,23.05
292.7376545,42.0147792,63370825,19305703+4200533,6609270,,,,,,,27.04,23.05
296.7719082,41.7555958,239229224,19470525+4145199,6381846,,,,,,,20.21,23.05
299.5017242,40.6707669,172373693,19580041+4040148,5480640,,,,,,,19.66,23.05
287.8264561,40.6965988,121333305,19111833+4041477,5436338,,,,,,,23.21,23.05
289.3154576,39.1532911,121988890,19171570+3909118,4049131,,,,,,,22.89,23.05
297.8414628,46.9676288,273592350,19512195+4658036,10028535,,,,,,,23.21,22.7
294.8654667,46.2858128,271354351,19392772+4617090,9595827,,,,,,,19.52,22.7
296.6034317,44.1292537,272489594,19462482+4407453,8247771,,,,,,,44.22,22.7
290.1065581,40.4906242,122294985,19202556+4029263,5269467,,,,,,,21.06,22.7
292.4698022,37.5677941,137637249,19295274+3734040,2165002,,,,,,,21.96,22.7
286.6627811,47.4136938,158272257,19063911+4724493,10328393,,,,,,,23.21,22.36
283.7175909,47.2043818,164556761,18545220+4712160,10190777,,,,,,,22.74,22.36
299.8305655,47.1575741,269357457,19591929+4709268,10166274,,,,,,,23.05,22.36
291.2243829,45.7780993,159646433,19245384+4546411,9279354,,,,,,,21.66,22.36
296.1882618,43.9368118,272270869,19444518+4356126,8110767,,,,,,,19.66,22.36
287.3612976,43.7388,158433884,19092670+4344196,7948784,,,,,,,,22.36
289.0643042,47.1174041,158983401,19161544+4707027,10134152,,,,,,,18.58,22.03
296.6972773,46.3716969,272602477,19464734+4622181,9661979,,,,,,,21.97,22.03
291.1833211,45.3230937,159647213,19244401+4519234,9020160,,,,,,,20.78,22.03
291.9032411,37.9023677,351056774,19273678+3754082,2715135,,,,,,,20.93,22.03
287.5711746,42.8138159,158552426,19101708+4248501,7269493,,,,,,,20.98,21.71
297.089959,41.3880686,169084431,19482159+4123169,6062088,,,,,,,15.32,21.71
292.1627933,41.0231947,137410997,19283906+4101236,5791986,,,,,,,22.58,21.71
297.0255947,48.4785669,27988995,19480615+4828429,10987985,,,,,,,21.36,21.4
295.7353911,42.5762317,271960006,19425648+4234345,7047824,,,,,,,21.51,21.4
286.0067312,38.0095407,120693914,19040161+3800343,2832589,,,,,,,20.92,21.4
296.8383661,46.6263912,272838324,19472121+4637350,9844088,,,,,,,18.99,21.1
284.3861498,45.7197342,164721250,18573268+4543109,9266431,,,,,,,20.64,21.1
296.5476395,44.9418307,272491981,19461140+4456309,8766650,,,,,,,21.07,21.1
291.5161959,42.2480736,159768168,19260389+4214535,6776401,,,,,,,20.92,21.1
283.982904,49.2329512,48419097,18555591+4913587,11389771,,,,,,,21.21,20.81
290.4376111,48.7918597,407001624,19214502+4847307,11134879,,,,,,,20.35,20.81
290.9342679,47.3575414,159642189,19234422+4721273,10271806,,,,,,,21.51,20.81
286.3985796,45.3435241,158268972,19053567+4520367,9008737,,,,,,,,20.81
295.4552577,50.4945093,27533282,19414927+5029404,12020329,,,,,,,,20.53
287.6535874,47.4147762,158489897,19103686+4724533,10330115,,,,,,,19.39,20.53
284.1832668,45.0740897,164670756,18564399+4504267,8802693,,,,,,,,20.53
298.4012866,44.8381709,274022334,19533632+4450174,8709688,,,,,,,,20.53
286.1103053,43.6809612,158170594,19042647+4340514,7877496,,,,,,,,20.53
290.3931809,43.3638577,159377404,19213437+4321500,7678434,,,,,,,23.59,20.53
297.373403,40.3663986,169459324,19492959+4021590,5209845,,,,,,,33.52,20.53
288.6689428,39.8239935,121734006,19144054+3949264,4736569,,,,,,,19.93,20.53
293.5111889,45.1366252,270520765,19340266+4508117,8890150,,,,,,,19.66,20.25
291.8713535,44.0873907,63009789,19272912+4405145,8165946,,,,,,,17.83,20.25
297.0200549,43.4325382,272942844,19480481+4325571,7769819,,,,,,,24.03,20.25
287.5349528,49.8016283,399954605,19100840+4948059,11705004,,,,,,,19.52,19.98
283.7414249,49.0679833,48354835,18545793+4904047,11283615,,,,,,,19.79,19.98
287.1406177,47.1151153,158394479,19083376+4706547,10130039,,,,,,,16.9,19.98
