file,ticid,sector,cadence,best_period_days,max_power,amplitude_percent,peak1_period,peak2_period,peak3_period,peak4_period,peak5_period,peak1_power,peak2_power,peak3_power,peak4_power,peak5_power,power_pass,ref_period,period_agree,power_and_agree,double_dipper,true_period_d
tess2019006130736-s0007-0000000391903064-0131-s_lc.fits,391903064,7,slow,3.294546511,0.8563176,2.95228004,3.294546511,2.771764183,1.69555434,4.199839776,6.397140883,0.8563176,0.099640665,0.067937349,0.040907704,0.033251747,TRUE,3.354253434,TRUE,TRUE,FALSE,3.294546511
tess2019032160000-s0008-0000000083092282-0136-s_lc.fits,83092282,8,slow,3.79502532,0.087817022,0.14225602,3.79502532,3.037703623,4.853866678,12.07050243,6.732203391,0.087817022,0.032533882,0.020642599,0.011983089,0.009242253,TRUE,3.79502532,TRUE,TRUE,FALSE,3.79502532
tess2019032160000-s0008-0000000332657786-0136-s_lc.fits,332657786,8,slow,3.533336878,0.110702539,3.23046803,3.533336878,2.930203462,10.9157839,6.672667288,2.502954262,0.110702539,0.087514426,0.038882448,0.026562498,0.022390921,TRUE,3.533336878,TRUE,TRUE,FALSE,3.533336878
tess2019032160000-s0008-0000000391903064-0136-s_lc.fits,391903064,8,slow,3.335472083,0.936022371,5.0353229,3.335472083,4.140457783,2.792546592,13.33675402,1.644997335,0.936022371,0.336392995,0.243312697,0.051693828,0.026737631,TRUE,3.354253434,TRUE,TRUE,FALSE,3.335472083
tess2019058134432-s0009-0000000391903064-0139-s_lc.fits,391903064,9,slow,3.354253434,0.977877347,6.12737775,3.354253434,4.162639615,2.808786113,6.700096867,15.02811861,0.977877347,0.107707186,0.077512605,0.033570738,0.028610827,TRUE,3.354253434,TRUE,TRUE,FALSE,3.354253434
tess2019085135100-s0010-0000000015445551-0140-s_lc.fits,15445551,10,slow,0.59484074,0.093529307,0.39601207,0.59484074,0.296769311,0.19770195,0.148222425,0.84081194,0.093529307,0.024074739,0.01135664,0.005015894,0.004467043,TRUE,0.59484074,TRUE,TRUE,FALSE,0.59484074
tess2019085135100-s0010-0000000306996324-0140-s_lc.fits,306996324,10,slow,11.00981393,0.079548456,0.26528835,11.00981393,6.085739877,2.544816292,0.941144761,3.697247154,0.079548456,0.023619865,0.010768236,0.004901131,0.004542905,TRUE,10.75448801,TRUE,TRUE,FALSE,11.00981393
tess2019085135100-s0010-0000000362249359-0140-s_lc.fits,362249359,10,slow,5.052543547,0.197325698,0.42684913,5.052543547,7.12272903,3.914743093,13.39524571,2.891508601,0.197325698,0.11055956,0.093261974,0.0335122,0.008660979,TRUE,5.052543547,TRUE,TRUE,FALSE,5.052543547
tess2019085135100-s0010-0000000390001646-0140-s_lc.fits,390001646,10,slow,2.918164414,0.102953154,15.08519351,2.918164414,1.167064328,1.935329741,0.829941582,3.480572478,0.102953154,0.076574499,0.069984919,0.0398459,0.03072701,TRUE,2.880064246,TRUE,TRUE,FALSE,2.918164414
tess2019085135100-s0010-0000000391903064-0140-s_lc.fits,391903064,10,slow,3.391360476,0.970002932,4.92394567,3.391360476,2.840888687,4.206429674,6.405780726,2.263533912,0.970002932,0.162639267,0.126804257,0.044140643,0.042588286,TRUE,3.354253434,TRUE,TRUE,FALSE,3.391360476
tess2019085135100-s0010-0000000460205581-0140-s_lc.fits,460205581,10,slow,2.952572537,0.570505734,1.62163377,2.952572537,1.516411033,3.539146749,2.532790656,1.2318081,0.570505734,0.288947816,0.092817622,0.091362607,0.034399856,TRUE,3.040266559,TRUE,TRUE,FALSE,2.952572537
tess2019085135100-s0010-0000000466884459-0140-s_lc.fits,466884459,10,slow,5.921955847,0.271758921,177.6799467,5.921955847,4.305579009,2.459483756,8.818834472,3.475525661,0.271758921,0.065365606,0.054552706,0.050041749,0.026727516,TRUE,5.921955847,TRUE,TRUE,FALSE,5.921955847
tess2019112060037-s0011-0000000271169413-0143-s_lc.fits,271169413,11,slow,8.27773126,0.050912542,0.4748565,8.27773126,5.471616699,4.086358952,3.169344276,1.959864668,0.050912542,0.028844027,0.010350271,0.007647286,0.004353517,TRUE,8.27773126,TRUE,TRUE,FALSE,8.27773126
tess2019112060037-s0011-0000000360156606-0143-s_lc.fits,360156606,11,slow,1.654308776,0.066176179,4.9526459,1.654308776,1.848043875,1.338574874,0.823443533,0.555376873,0.066176179,0.012763004,0.008004777,0.00428298,0.001921044,TRUE,1.664145291,TRUE,TRUE,FALSE,1.654308776
tess2019112060037-s0011-0000000391903064-0143-s_lc.fits,391903064,11,slow,3.326658909,0.937044952,4.25649881,3.326658909,4.098119189,2.799634917,6.12838777,2.282955153,0.937044952,0.149803539,0.132490705,0.056332657,0.032883594,TRUE,3.354253434,TRUE,TRUE,FALSE,3.326658909
tess2019112060037-s0011-0000000460205581-0143-s_lc.fits,460205581,11,slow,3.000456532,0.468244271,1.2753427,3.000456532,1.506525516,3.69916985,2.523759253,5.684938936,0.468244271,0.228563627,0.102189775,0.075701316,0.053296172,TRUE,3.040266559,TRUE,TRUE,FALSE,3.000456532
tess2019112060037-s0011-0000000466884459-0143-s_lc.fits,466884459,11,slow,5.799189828,0.074112422,105.4584527,5.799189828,4.144061028,8.991274325,2.123682357,15.31282532,0.074112422,0.022693733,0.021838673,0.021448606,0.013367022,TRUE,5.921955847,TRUE,TRUE,FALSE,5.799189828
tess2019140104343-s0012-0000000260128333-0144-s_lc.fits,260128333,12,slow,14.88861188,0.161195834,0.80145359,14.88861188,4.890241976,7.858890212,2.087091322,1.341921877,0.161195834,0.134184335,0.067225948,0.026066059,0.022857894,TRUE,14.88861188,TRUE,TRUE,FALSE,14.88861188
tess2019140104343-s0012-0000000309792357-0144-s_lc.fits,309792357,12,slow,11.51195993,0.098208621,0.28369784,11.51195993,6.605805224,4.838367763,4.105976018,2.619202299,0.098208621,0.070413185,0.02115221,0.018295534,0.007608914,TRUE,12.17412963,TRUE,TRUE,FALSE,11.51195993
tess2019140104343-s0012-0000000360156606-0144-s_lc.fits,360156606,12,slow,1.647826775,0.066308675,5.18040955,1.647826775,1.83490756,2.13837452,2.562110193,5.284993925,0.066308675,0.009790507,0.005448119,0.002559354,0.002546187,TRUE,1.664145291,TRUE,TRUE,FALSE,1.647826775
tess2019140104343-s0012-0000000383390264-0144-s_lc.fits,383390264,12,slow,2.248624866,0.307536487,0.43839335,2.248624866,1.147243918,2.629691287,1.376166204,1.032717076,0.307536487,0.236035733,0.20921349,0.043521978,0.027551079,TRUE,2.358190742,TRUE,TRUE,FALSE,2.248624866
tess2019140104343-s0012-0000000391903064-0144-s_lc.fits,391903064,12,slow,3.337696486,0.931856818,4.22484875,3.337696486,2.823187635,4.081530751,5.987892358,2.313679457,0.931856818,0.131148543,0.123209103,0.038223202,0.035390453,TRUE,3.354253434,TRUE,TRUE,FALSE,3.337696486
tess2019169103026-s0013-0000000055525572-0146-s_lc.fits,55525572,13,slow,5.101577692,0.060439695,0.25630593,5.101577692,4.086797186,3.408746296,13.45237812,7.18220043,0.060439695,0.045345845,0.02664983,0.025576982,0.017300663,TRUE,5.101577692,TRUE,TRUE,FALSE,5.101577692
tess2019169103026-s0013-0000000079748331-0146-s_lc.fits,79748331,13,slow,10.07699598,0.184054815,0.33242702,10.07699598,6.064876432,4.337797877,2.76374781,1.560473629,0.184054815,0.030355042,0.022389081,0.010790251,0.008558853,TRUE,10.92111693,TRUE,TRUE,FALSE,10.07699598
tess2019169103026-s0013-0000000201604954-0146-s_lc.fits,201604954,13,slow,0.631606437,0.561330091,2.3687923,0.631606437,0.315879705,0.210291979,0.157783687,0.72132826,0.561330091,0.125995565,0.06707376,0.017809867,0.006338626,TRUE,0.632136073,TRUE,TRUE,FALSE,0.631606437
tess2019169103026-s0013-0000000290348383-0146-s_lc.fits,290348383,13,slow,11.74173832,0.761196935,0.70754647,11.74173832,5.897432964,7.851402258,4.722219678,3.544875549,0.761196935,0.213499126,0.13865649,0.045717728,0.011517337,TRUE,12.07182541,TRUE,TRUE,FALSE,11.74173832
