ticid,periods
48506505,6.23254979
48506505,6.457739578
48506505,6.041066964
48506505,6.444539404
48506505,6.316823309
49040478,6.059280499
49984349,10.14450427
50618703,7.537160305
51234631,11.43511125
55525572,5.101577692
55650590,13.00303588
55652896,12.28706861
56399553,10.06510055
56399553,6.044080474
56399553,5.675531273
56658270,10.05939033
56658270,10.94452679
56658270,10.80037712
56658270,9.954772117
56658270,10.50726327
56658273,10.05939033
56658273,10.94452679
56754291,6.562788824
58542531,11.12362386
58542531,10.93199226
58542531,12.01688216
61098812,5.403352273
62483237,15.04434862
62483237,7.031606298
62483237,7.047778179
63006978,9.082900713
63130782,0.348920564
63205796,0.229000155
63206513,8.182713547
63206513,9.082912346
63212809,0.301254419
63213622,6.117202169
63213622,5.870208394
63213622,6.232548992
63213622,5.888146611
63213622,5.788557646
63213622,6.44455835
63213622,5.754399977
63283780,5.813926362
63283780,5.708600704
63293562,7.992263466
63368895,6.674168441
63373449,9.601195118
63452790,12.4924422
71582156,12.16956627
75878355,12.76013005
76923707,9.284035163
76923707,10.00833252
77031414,5.49136985
77044471,5.745072161
79748331,10.07699598
79748331,10.92111693
81247740,5.078931392
83092282,3.79502532
84339983,7.062924868
88992642,3.982886881
96199085,4.919101719
97921547,0.664549633
98591691,4.100454492
98594138,14.76159307
98720809,6.531405591
98751904,3.40952502
98796344,1.400927637
98796344,1.391826654
98796344,1.407134911
100100827,10.86301543
101011575,5.620951566
102840239,15.36641495
104024556,1.174987993
116264089,8.902887019
116483514,8.584926616
118956453,8.027153574
118956453,7.979507138
118956453,7.616822652
119584412,7.976577854
120043638,2.677744541
120103486,7.992196491
120105003,6.117157811
120105003,6.141342414
120105003,5.615117939
120105003,6.083575788
120105003,6.159837207
120105470,2.657881468
120105470,2.574052626
120105470,2.643877668
120105470,2.534928236
120105470,2.53475555
120105470,2.628026669
120105470,2.627867901
120105569,7.992201896
120253552,5.026759328
120571308,0.377162664
120571308,0.377469431
120578688,10.48516654
120578688,11.42061968
120629799,11.4341791
120762000,0.159589584
120762000,0.159678422
120763491,0.246431057
120763491,0.246670042
120765800,7.960431393
120896927,11.31995176
120961712,7.135404142
121021644,9.739636751
121121775,10.20056493
121123361,10.03563034
121462999,5.875629201
121490076,9.990809611
121490076,9.267405913
121490076,9.267072613
121603761,8.502717002
121603794,5.621942996
121734474,2.078828536
121865123,3.610788525
121865123,3.557879915
121865123,3.631547451
122137575,6.415628331
122137575,6.316802009
122442334,0.140299678
122442545,7.502303977
122450696,4.692225669
122450696,4.640706802
122450696,4.656435138
122450696,4.656156457
122450696,4.78812445
122450696,4.787941835
122450696,4.994192074
122450696,4.993931452
122507231,0.085497855
122507231,0.085460212
122673489,13.79908805
122784501,8.544123258
122784501,8.502723537
123416753,7.553783249
123444694,9.43041814
123444694,9.763123943
123449386,8.768430614
123496782,4.422331593
125060509,6.493114197
129979528,0.526151057
129979528,0.525820537
130162252,1.087365603
130181866,3.198288075
130181866,3.20109574
130181866,3.19792643
130181866,3.209098738
130181866,3.457494781
135043332,7.312606433
135043332,7.311928858
137099260,10.53328549
137151294,6.785923452
137217372,9.08289068
137317096,0.17415403
137413972,9.082895434
137413972,9.601173279
137414304,8.502737428
137545963,0.159774417
137545963,0.159931201
137557778,0.31645379
137557778,0.31645802
137817355,8.429886391
137817355,8.088501789
137817355,8.006699846
137817355,8.182748658
137817355,8.50273632
137817355,7.851581131
137899873,3.010897414
137899873,3.032124566
137899873,3.12074537
137968594,0.172132917
137968594,0.172050583
137968594,0.172063914
137968594,0.172242264
138105005,9.748375516
138105005,9.082901853
138105005,8.937689542
